favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
3,Twitter Web Client,@chefchristo1 @eyeofjordan @swjlv LOL,chefchristo1,False,Sat Feb 11 17:47:20 +0000 2017,1,830473306377768960
9,Twitter Web Client,@greenleafjenjen I think she went to Miami same thing,greenleafjenjen,False,Sat Feb 11 17:49:10 +0000 2017,6,830473767113601024
199,Twitter Web Client,.@randolph_bourne @eyeofjordan @swjlv I would like @MichaelCohen212 to tell us his whereabouts on August 19-22 2016.,randolph_bourne,False,Sat Feb 11 17:50:43 +0000 2017,118,830474157838188550
14,Twitter Web Client,@Fullcaff well you guys invented baseball so we're even :),Fullcaff,False,Sat Feb 11 17:51:21 +0000 2017,3,830474315862773761
237,Twitter Web Client,.@laurie_wagner they actually kept switching registration numbers so we had to revert to the serial numbers of the… https://t.co/WoRPjMsTZV,laurie_wagner,False,Sat Feb 11 17:55:50 +0000 2017,176,830475445481172993
26,Twitter Web Client,No. https://t.co/rRirNtHTKD,,False,Sat Feb 11 18:03:06 +0000 2017,8,830477273312567296
173,Twitter Web Client,"I know, we're making it after the impeachment. An @JohnBrownlow production :) https://t.co/AzstR9CvAb",,False,Sat Feb 11 18:06:02 +0000 2017,48,830478013540208642
48,Twitter Web Client,"""I sleep in bed, not in carcass of dog. My president is no. 1 hottie of all times."" https://t.co/XsKdzS4ynQ",,False,Sat Feb 11 18:06:38 +0000 2017,16,830478165382397952
91,Twitter Web Client,He cannot fire the Vice-President https://t.co/8ZNJoopoVm,,False,Sat Feb 11 18:11:26 +0000 2017,32,830479370808602625
46,Twitter Web Client,Sigh https://t.co/N9YMXtGs89,,False,Sat Feb 11 18:12:11 +0000 2017,7,830479560089227264
8,Twitter for iPhone,@eyeofjordan @swjlv it's 999lr I first misidentified it I think,eyeofjordan,False,Sat Feb 11 18:39:37 +0000 2017,3,830486465712967680
511,Twitter for iPhone,And there it is folks MKATE takes bagman of Russia Rybolovev to golf with Trump and Flynn @secretservice Agni  https://t.co/0jj0IUHMPx,,False,Sat Feb 11 18:47:16 +0000 2017,646,830488391527649286
493,Twitter for iPhone,So MKATE stops in Zurich. FSB plane just there. Flies to Florida. Putin's Bagman #Rybolovev golfs with Trump and Fl… https://t.co/MgaaFhNHxn,,False,Sat Feb 11 18:49:09 +0000 2017,627,830488862644396033
760,Twitter for iPhone,Allow me to be very explicit. Bannon leaks the truth on Flynn sanctions lies last night. Only AFTER JEFF SESSIONS IS CONFIRMED AS AG.,,False,Sat Feb 11 18:50:01 +0000 2017,639,830489081381523456
657,Twitter for iPhone,Donald Trump drops @mike_pence right in it. Flies #MoscowMike to Mar a Lago to golf with Putin's bagman Rybolovev t… https://t.co/eS61GwAEWS,,False,Sat Feb 11 18:53:47 +0000 2017,828,830490029302636545
434,Twitter for iPhone,But here's the kicker. MKATE/ Putin had to plan that flight to golf with Trump and Flynn BEFORE Bannon leaked Flynn… https://t.co/aOymPlgrUO,,False,Sat Feb 11 18:55:00 +0000 2017,422,830490335394537476
10,Twitter Web Client,@KateMcBlair @th3j35t3r au contraire blackadder,KateMcBlair,False,Sat Feb 11 19:36:57 +0000 2017,1,830500891094634497
113,Twitter Web Client,Hello @Snowden can you confirm you were working with Putin's FSB on your escape while still stealing at the NSA? Da… https://t.co/IzXPJKpcUH,Snowden,False,Sat Feb 11 22:29:48 +0000 2017,80,830544392842797056
159,Twitter Web Client,"Hi, @Snowden. You sent your sole email to NSA brass the day after this meeting. Which of your FSB handlers told you… https://t.co/XLgKJYuQ7K",Snowden,False,Sat Feb 11 22:30:36 +0000 2017,102,830544593208930305
216,Twitter Web Client,Hi @Snowden. Can you say exactly how Colonel Kazalupov and Igor Lebedev relayed their instructions to you at the NS… https://t.co/hTAWYgmG8k,Snowden,False,Sat Feb 11 22:31:33 +0000 2017,158,830544832397467648
